UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   26368   Characters
    2746   Errors
   89.59%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   89.59%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     237     1460     1049     2746   Unmarked
     237     1460     1049     2746   Total

   Count   Missed   %Right
    5094      100    98.04   ASCII Spacing Characters
     488      238    51.23   ASCII Special Symbols
      17       17     0.00   Latin1 Special Symbols
   20668     1321    93.61   Basic Arabic
     101       21    79.21   Arabic Extended
   26368     1697    93.56   Total

  Errors   Marked   Correct-Generated
     333        0   {}-{<\n>}
     180        0   {ي}-{ى}
     122        0   {)}-{(‏}
     103        0   {ي}-{ب}
     101        0   {}-{ }
      92        0   {}-{‏ }
      60        0   {(}-{)}
      41        0   { }-{}
      34        0   {ل}-{إ}
      34        0   {}-{‎ }
      31        0   {خ}-{ح}
      29        0   {ت}-{ن}
      27        0   {ت}-{}
      27        0   {}-{‏}
      26        0   {)}-{(<\n>}
      26        0   {م}-{}
      23        0   {ت}-{م}
      22        0   {ي}-{}
      21        0   {أ}-{ا}
      20        0   {(}-{<\n>)}
      20        0   {ي}-{ى<\n>}
      20        0   {}-{ل}
      18        0   {في}-{نى}
      18        0   {ن}-{م}
      16        0   {( }-{<\n>)}
      14        0   { )}-{(<\n>}
      12        0   {م}-{ه}
      11        0   {ب}-{}
      11        0   {ج}-{ح}
      11        0   {ق}-{ة}
      11        0   {ن}-{}
      11        0   {}-{ً}
      10        0   { ي}-{ب}
      10        0   {ا}-{أ}
      10        0   {ث}-{م}
      10        0   {في}-{ى}
      10        0   {}-{ ‎}
      10        0   {}-{)٢}
      10        0   {}-{م}
       9        0   {ئ}-{م}
       9        0   {ب}-{م}
       9        0   {[}-{]}
       9        0   {]}-{[}
       8        0   {) ،}-{(،‏<\n>}
       8        0   {في}-{قى}
       8        0   {ي(}-{ى)}
       8        0   {يم}-{ب}
       8        0   {}-{ن}
       7        0   {ث}-{ن}
       7        0   {ن}-{:}
       7        0   {ي}-{م}
       7        0   {}-{ا}
       7        0   {}-{س}
       7        0   {»}-{«}
       6        0   { .}-{.<\n>}
       6        0   {؟}-{‎٤‏}
       6        0   {تي}-{نى}
       6        0   {في}-{تى}
       6        0   {ل}-{ا}
       6        0   {مغال...}-{حرص}
       6        0   {م}-{؛}
       6        0   {ي}-{ ب}
       6        0   {ي}-{‏ ب}
       6        0   {٤)}-{‏}
       6        0   {}-{يعتر...}
       5        0   {( مش}-{<\n>)؛ثر}
       5        0   {،}-{؛}
       5        0   {أ}-{آ}
       5        0   {ؤ}-{و}
       5        0   {إ}-{ا}
       5        0   {ب}-{ي}
       5        0   {تحسي...}-{۔_ب}
       5        0   {ع}-{ء}
       5        0   {ق}-{ف}
       5        0   {ن}-{ذ}
       5        0   {ه}-{م}
       5        0   {}-{ى}
       5        0   {«}-{»}
       4        0   { (}-{<\n>)}
       4        0   { }-{)٢}
       4        0   { }-{)٣}
       4        0   { }-{)٤}
       4        0   {( تخ}-{<\n>)مح}
       4        0   {)في }-{(<\n>}
       4        0   {.}-{:<\n>}
       4        0   {،}-{.}
       4        0   {آث}-{اً م}
       4        0   {أ}-{ا }
       4        0   {إ}-{ل}
       4        0   {ئه}-{م}
       4        0   {ئ}-{ى"}
       4        0   {ئ}-{ىء}
       4        0   {ا في}-{ نى<\n>}
       4        0   {التي}-{إيى}
       4        0   {ال}-{.<\n>إإ}
       4        0   {ا}-{<\n>}
       4        0   {ا}-{}
       4        0   {به}-{م}
       4        0   {ب}-{سج۔<\n>}
       4        0   {تم}-{ن}
       4        0   {تيت}-{نى<\n>م}
       4        0   {تي}-{بى}
       4        0   {تي}-{يى}
       4        0   {ثن}-{ش}
       4        0   {ر}-{}
       4        0   {ع}-{م}
       4        0   {ف}-{ة}
       4        0   {ق}-{ت}
       4        0   {م}-{.}
       4        0   {م}-{ء}
       4        0   {ني}-{ى}
       4        0   {ه}-{}
       4        0   {و}-{ر}
       4        0   {ي }-{ى}
       4        0   {يء}-{ى *<\n>}
       4        0   {يخ}-{بح}
       4        0   {ي}-{<\n>ب}
       4        0   {٢)}-{‏}
       4        0   {٣)}-{‏<\n>}
       4        0   {٣)}-{‏}
       4        0   {٥)}-{‏}
       4        0   {[}-{] }
       4        0   {}-{"}
       4        0   {}-{)٣(‏}
       4        0   {}-{)٣}
       4        0   {}-{)٤(‏}
       4        0   {}-{ر}
       4        0   {}-{ك}
       4        0   {}-{و}
       4        0   {}-{<\n>‎}
       4        0   {«أ}-{» ا }
       4        0   {«}-{<\n>»}
       3        0   { )ا}-{(<\n>}
       3        0   { )[}-{(<\n>]}
       3        0   { .(}-{.<\n>)}
       3        0   { .ت}-{.<\n>م}
       3        0   { يع}-{بم}
       3        0   {)}-{(.<\n>}
       3        0   {-}-{_}
       3        0   {آب}-{ا "}
       3        0   {آث}-{ا م}
       3        0   {آ}-{ا}
       3        0   {أبي}-{الى}
       3        0   {أم}-{اَە}
       3        0   {إنس}-{اذ_}
       3        0   {اب}-{<\n>أت}
       3        0   {ا}-{‏ أ}
       3        0   {ب}-{:}
       3        0   {ة}-{ق}
       3        0   {تخث}-{نحن}
       3        0   {تخي}-{محب}
       3        0   {تر»}-{ر «}
       3        0   {تي}-{نى<\n>}
       3        0   {ت}-{ئ}
       3        0   {ت}-{ب}
       3        0   {ت}-{<\n>ذ_}
       3        0   {ث}-{ت}
       3        0   {ث}-{}
       3        0   {سو}-{متة}
       3        0   {س}-{‏ ۔}
       3        0   {في }-{هى.}
       3        0   {في }-{<\n>قى}
       3        0   {في}-{<\n>وى}
       3        0   {ق}-{تتن}
       3        0   {ك}-{اىث}
       3        0   {لبل}-{{.ا}
       3        0   {لح}-{ايس}
       3        0   {لكت}-{إمن}
       3        0   {متت}-{نق}
       3        0   {م}-{،}
       3        0   {م}-{؞}
       3        0   {م}-{س}
       3        0   {م}-{‏ ه}
       3        0   {ني}-{ى ‏}
       3        0   {ن}-{ ):}
       3        0   {ن}-{ممِ}
       3        0   {ه}-{‏<\n>ع}
       3        0   {و}-{}
       3        0   {ي(}-{ى<\n>)}
       3        0   {يء}-{ىثة}
       3        0   {يء}-{ى۔<\n>}
       3        0   {يما}-{با }
       3        0   {ي}-{ }
       3        0   {ي}-{ئ}
       3        0   {ي}-{ن}
       3        0   {ي}-{و}
       3        0   {ي}-{ى)٠}
       3        0   {ي}-{ى)٤}
       3        0   {ي}-{ى.<\n>}
       3        0   {ي}-{‏ ن}
       3        0   {ي}-{] ب}
       3        0   {]}-{ [<\n>}
       3        0   {}-{ف}
       3        0   {}-{ه}
       3        0   {}-{ي}
       3        0   {}-{۔}
       3        0   {}-{‎}
       2        0   { ،}-{،<\n>}
       2        0   { ت}-{.م}
       2        0   { ]}-{[}
       2        0   { }-{)١}
       2        0   { }-{)٥}
       2        0   { }-{)٦}
       2        0   {(}-{ف)}
       2        0   {)}-{( }
       2        0   {)}-{(}
       2        0   {، }-{و}
       2        0   {،ث}-{«<\n>}
       2        0   {،}-{ :}
       2        0   {،}-{:<\n>}
       2        0   {،}-{؛<\n>}
       2        0   {،}-{ء<\n>}
       2        0   {،}-{«<\n>}
       2        0   {؛}-{ه<\n>}
       2        0   {ءا}-{ع<\n>}
       2        0   {ء}-{يا}
       2        0   {آب}-{ات}
       2        0   {آب}-{ا}
       2        0   {آب}-{ت}
       2        0   {آث}-{ا }
       2        0   {آث}-{م}
       2        0   {آ}-{ا }
       2        0   {أم}-{اء}
       2        0   {أم}-{زب}
       2        0   {أ}-{إ}
       2        0   {أ}-{م }
       2        0   {أ}-{<\n>آ}
       2        0   {إن}-{)ل}
       2        0   {إن}-{ا:}
       2        0   {إ}-{ا }
       2        0   {إ}-{<\n>ا}
       2        0   {ئا}-{ء}
       2        0   {ئ}-{ىك}
       2        0   {ا }-{أ}
       2        0   {ال}-{<\n>)}
       2        0   {ال}-{}
       2        0   {ا}-{ أ}
       2        0   {ا}-{آ}
       2        0   {ا}-{أً}
       2        0   {ا}-{<\n>إ}
       2        0   {بت}-{ين}
       2        0   {بخ}-{ص}
       2        0   {بر}-{ر }
       2        0   {بر}-{ر:}
       2        0   {به}-{:ة}
       2        0   {به}-{،ا}
       2        0   {بي}-{تى}
       2        0   {بي}-{يى}
       2        0   {ب}-{ م}
       2        0   {ب}-{ }
       2        0   {ب}-{ر}
       2        0   {ب}-{<\n>م}
       2        0   {ت }-{بي}
       2        0   {تخ}-{نح}
       2        0   {تق}-{ة}
       2        0   {تي}-{مى}
       2        0   {تي}-{نب}
       2        0   {ت}-{شد}
       2        0   {ت}-{ش}
       2        0   {ث}-{س}
       2        0   {ج}-{ ي}
       2        0   {ج}-{حي}
       2        0   {ح}-{خ}
       2        0   {ح}-{عخ}
       2        0   {ح}-{م}
       2        0   {خي}-{ح}
       2        0   {خ}-{و۔}
